timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,km/hr speed,time/km,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1084945349,-403960136,1803323116,137,78,132701,19,64,2053,7.3908,8.118201007,2520,0,,57,137
1084945357,-403962114,1803322080,136,78,134715,19,64,2090,7.524,7.974481659,2522,0,,44,136
1084945359,-403962486,1803321767,135,79,135138,19,64,2127,7.6572,7.83576242,2523,0,,72,135
1084945365,-403963632,1803320748,138,79,136465,19,64,2239,8.0604,7.443799315,2525,0,,57,138
1084945368,-403964163,1803320161,138,79,137134,19,64,2267,8.1612,7.351860021,2525,,,57,138
1084945378,-403965260,1803317720,139,79,139298,19,64,2323,8.3628,7.174630507,2522,0,,44,139
1084945387,-403965942,1803315350,140,79,141242,19,64,2314,8.3304,7.202535292,2522,0,,32,140
1084945394,-403966569,1803313560,137,78,142747,19,0,2277,8.1972,7.319572537,2522,894,,72,137
1084945400,-403967082,1803312034,136,80,144022,19,0,2258,8.1288,7.381163271,2523,0,,57,136
1084945409,-403967689,1803309793,134,78,145851,19,64,2267,8.1612,7.351860021,2523,0,,25,134
1084945417,-403968525,1803307834,135,80,147564,19,0,2267,8.1612,7.351860021,2522,0,,18,135
1084945424,-403969218,1803306112,137,79,149036,19,64,2249,8.0964,7.410701052,2521,0,,32,137
1084945433,-403970348,1803304139,138,81,150893,19,0,2211,7.9596,7.53806724,2521,,,44,138
1084945436,-403970807,1803303546,141,80,151523,19,0,2202,7.9272,7.568876779,2525,,,57,141
1084945441,-403971655,1803302669,142,80,152566,19,0,2193,7.8948,7.5999392,2525,0,,44,142
1084945450,-403973094,1803301018,140,81,154418,19,0,2183,7.8588,7.634753397,2521,0,,32,140
1084945456,-403974110,1803299800,143,82,155753,19,0,2155,7.758,7.733952049,2520,,,32,143
1084945459,-403974590,1803299247,143,81,156371,19,0,2155,7.758,7.733952049,2519,0,,32,143
1084945467,-403976152,1803297794,143,81,158211,19,0,2155,7.758,7.733952049,2520,0,,108,143
1084945474,-403977416,1803296488,140,82,159764,19,0,2165,7.794,7.698229407,2519,0,,44,140
1084945475,-403977629,1803296311,139,82,160003,19,0,2165,7.794,7.698229407,2520,0,,32,139
1084945480,-403978706,1803295344,139,79,161255,19,64,2174,7.8264,7.666360012,2518,888,,32,139
1084945484,-403979490,1803294664,140,81,162152,19,0,2193,7.8948,7.5999392,2517,,,25,140
1084945492,-403981033,1803292978,143,81,164096,19,0,2230,8.028,7.473841555,2517,0,,44,143
1084945493,-403981247,1803292750,144,81,164361,19,0,2230,8.028,7.473841555,2518,0,,44,144
1084945494,-403981427,1803292521,144,81,164605,19,0,2239,8.0604,7.443799315,2518,0,,44,144
1084945503,-403983130,1803290662,142,81,166748,19,0,2277,8.1972,7.319572537,2518,0,,57,142
1084945505,-403983459,1803290258,140,81,167186,18,0,2286,8.2296,7.290755322,2515,0,,72,140
1084945509,-403984181,1803289483,137,81,168088,18,0,2295,8.262,7.262164125,2520,,,88,137
